"Program","xPONENT","","MAGPIX"
"Build","4.3.309.1"
"Date","01/01/2026","12:00 PM"

"SN","MAGPX00000000"
"Batch","EXAMPLE01-MP0000-GK00-P01-12PLXMPXVSERUMTS"
"Version","1"
"Operator","EXAMPLE"
"ComputerName","DESKTOP-EXAMPLE"
"Country Code","7F"
"ProtocolName","TetracoreFIA 12-Plex MPXV HIgG Test"
"ProtocolVersion","1.1"
"ProtocolDescription","Mpox HIgG Antibody test"
"ProtocolDevelopingCompany","Tetracore Inc."
"SampleWash","Off"
"SampleVolume","50 uL"
"BatchStartTime","1/1/2026 1:00:00 PM"
"BatchStopTime","1/1/2026 1:00:00 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Griener Black microclear 96 well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","12"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 12/31/2025 10:00:00"
"Last VER Verification","Passed 12/31/2025 10:00:00"
"Last Fluidics Test","Passed 12/31/2025 10:00:00"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"C00000","12/31/2025","12/31/2025 10:00:00 AM","30.3","30.3","30.3","30.3","230","227","345","345","0.007","0.00696","0.00387","0.11501","Pass","MAGPX00000000"


"Samples","96","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","01 MVA Ag","02 VACV A33R","03 MPXV A35R","04 MPXV B6R","05 MPXV A27","06 MPXV E8L","07 MPXV H3L","08 MPXV M1R","09 NC","10 ScG","11 FC","12 IC","Total Events"
"1(1,A1)","VIG 1:100","1941","18740.5","8457","14462","27387","8681.5","9252","1662.5","121","17532.5","3659","2449","1332"
"2(1,B1)","VIG 1:300","1010","10836.5","3953","7534","18454.5","4063","4181","627","53.5","16195.5","2891","2348","1149"
"3(1,C1)","VIG 1:900","448","4777","1370","3127.5","9083.5","1338","1524","203","25","15401","2678","2326","1612"
"4(1,D1)","VIG 1:2700","189.5","1871","517","1253","4523.5","521","603","77.5","19","14121","2486","2325","1457"
"5(1,E1)","VIG 1:8100","83","744","191","460","1772","185","235","31","15","12610","2441.5","2261","1561"
"6(1,F1)","VIG 1:24300","42","261","67","173","637.5","64","94","17","13","10290","2366","2277.5","1494"
"7(1,G1)","VIG 1:72900","22","92","26","60.5","240.5","27","40","12","13","7293.5","2359","2307","1509"
"8(1,H1)","NC","16","12","9","12","20","9","17","10","12","13089","2358","2310.5","1556"
"9(1,A2)","INRB PC 1:100","746","15405","15962","8236.5","13795","11466.5","7647.5","806","61","16880","2782.5","2427","1514"
"10(1,B2)","INRB PC 1:300","358.5","8207.5","8941","3992","7795.5","5950.5","4013","281.5","28","17053","2625.5","2357","1419"
"11(1,C2)","INRB PC 1:900","142","3950","4336.5","1605.5","3549","2486","1675","108","19","16192","2519","2298","1442"
"12(1,D2)","INRB PC 1:2700","64.5","1483","1582","551","1295","894","557","45","15","14658","2437","2311","1472"
"13(1,E2)","INRB PC 1:8100","29","527","524.5","187","451","294","185","18","14.5","13104","2404","2293","1499"
"14(1,F2)","INRB PC 1:24300","21","190","188","68","160.5","108","85","14","13","12459","2431","2314","1465"
"15(1,G2)","INRB PC 1:72900","16","69","65","27","51","40","38.5","10","12","9917","2412","2277","1514"
"16(1,H2)","NC","57.5","59","32","49","79","23.5","132.5","39","51","19216","3495","2299","1310"
"17(1,A3)","EX001 S1","32.5","62.5","18","17","855","41","40.5","20.5","48","17604","2610","2302","1466"
"18(1,B3)","EX001 S2","36","65.5","17","19","592","27","39","26","50","15473.5","2500","2302","1515"
"19(1,C3)","EX001 S3","39","51","17","22.5","497","58.5","40","29","33","18008","2767","2300","1548"
"20(1,D3)","EX002 S2","24","40","13","17","452.5","31.5","71","25","17","17139","2561","2285","1458"
"21(1,E3)","EX002 S3","25","39","13","15","350","45","56.5","24.5","20.5","16807","2532","2285","1545"
"22(1,F3)","EX002 S4","41","44","15","22","393","43","40","31","106","17356","2476","2289","1385"
"23(1,G3)","EX002 S5","37","62.5","15","19","238","29","35.5","20","42","17486","2529","2292","1462"
"24(1,H3)","EX002 S6","43","47","15","20","179","36","31","22.5","85","17684","2564.5","2299","1443"
"25(1,A4)","EX003 S1","42","89","22","23","171.5","43","44","28.5","43","17336.5","2631.5","2310.5","1566"
"26(1,B4)","EX003 S3","50.5","95.5","30","32","184","64","55.5","28","357","17560","2809","2294","1443"
"27(1,C4)","EX004 S1","99","1577","1700","1517.5","725","1832","452","35","28","17942","2745","2305.5","1475"
"28(1,D4)","EX004 S2","1218","27277","23206","13597","30313.5","25984","20638","3094","94","18235.5","3041","2492.5","1550"
"29(1,E4)","EX004 S3","1526","21115","19452.5","13337.5","29431.5","25161.5","17308","3784.5","107","18116","2937","2514","1446"
"30(1,F4)","EX005 S3","676","20831","15552","4825","11736","17350","9673","494.5","123","17251","3054","2468","1652"
"31(1,G4)","EX005 S4","957","26798","22407","11734.5","3074.5","13060","7227","648","142","17041.5","3300.5","2540","1269"
"32(1,H4)","EX006 S1","37","49","22","24","117","57","40","25.5","33","16431","2536","2316","1246"
"33(1,A5)","EX006 S2","47","38","21","25","122","33","41.5","30","36","17483","2630.5","2318.5","1570"
"34(1,B5)","EX006 S3","36","35.5","17","20.5","78","43","33","22","29","14782","2346","2276","1467"
"35(1,C5)","EX007 S1","57.5","360","24","53","511","49.5","85.5","34","46","17898","3164","2290","1530"
"36(1,D5)","EX007 S2","49.5","342","19","39","567","37","71.5","33","36.5","17031","2889.5","2314.5","1325"
"37(1,E5)","EX007 S3","60","419.5","26","36","639","66.5","85","40","39","17833","3020","2328","1408"
"38(1,F5)","EX007 S4","56","302","21","34.5","460","38.5","67","37","45","16999","2877","2310","1461"
"39(1,G5)","EX007 S6","54","494.5","25","34","396","83.5","72","38","55","17652","3220.5","2306","1331"
"40(1,H5)","EX008 S1","126","972","387","6912","3884","152","6492.5","38","48.5","17171","2701","2287","1308"
"41(1,A6)","EX008 S2","372","5454","4446","9035","12232","8607","8086","214","47","13931","2429","2346","1559"
"42(1,B6)","EX008 S3","572","10252","8831","9182.5","13485","11553","10096","297.5","64","17880.5","3052","2376","1590"
"43(1,C6)","EX009 S1","39","52","22","23","166","46","59","30","33","17195","2871","2299","1450"
"44(1,D6)","EX009 S2","345.5","224.5","32","207","239","2310","125","118.5","40","17325.5","2842","2298.5","1143"
"45(1,E6)","EX009 S3","418.5","1814","206.5","517","186.5","3591","251","352","38.5","16747.5","2830","2302.5","1358"
"46(1,F6)","EX010 S1","36","70","20.5","28","161","31","72","34.5","100","17393","2670","2299","1613"
"47(1,G6)","EX011 S1","268","18031","9321","9888","28220","7588","2629","43","26.5","17463.5","2717","2330.5","1428"
"48(1,H6)","EX011 S3","1076","23443","14677","13767","34575","19765","21403.5","1738","67","18192.5","3286.5","2405.5","1439"
"49(1,A7)","EX011 S4","1287.5","21277","17841.5","13437","28025","12257","21103","2151","47","17924","2856.5","2370","1166"
